Species,Sample,Diet,Search,Peak,Class,RT,Area
BSIM,BSIM3,Dietary,Search1,P093-RT-10.00,Terpenoids,10.004,5249807
SMOM,SMOM1,Dietary,Search1,P093-RT-10.00,Terpenoids,10.0046,349265
GSEP,GSEP5,Non-dietary,Search1,P093-RT-10.00,Terpenoids,10.0193,229899
TAME,TAME2,Dietary,Search1,P093-RT-10.00,Terpenoids,10.019,68232
TAME,TAME4,Dietary,Search1,P093-RT-10.00,Terpenoids,9.9562,64860
CVIT,CVIT1,Dietary,Search2,P093-RT-10.00,Terpenoids,9.8982,17154
BSIM,BSIM1,Dietary,Search2,P093-RT-10.00,Terpenoids,9.9188,12141
TAME,TAME3,Dietary,Search2,P093-RT-10.00,Terpenoids,10.0637,2600
AHER,AHER2,Non-dietary,Search1,P097-RT-10.16,Unidentified compounds,10.1364,4654217
CVIT,CVIT2,Dietary,Search1,P097-RT-10.16,Unidentified compounds,10.1808,169054
SMOM,SMOM3,Dietary,Search1,P097-RT-10.16,Unidentified compounds,10.1779,166957
CVIT,CVIT1,Dietary,Search1,P097-RT-10.16,Unidentified compounds,10.1779,98553
SMOM,SMOM5,Dietary,Search1,P097-RT-10.16,Unidentified compounds,10.1257,26226
AHER,AHER1,Non-dietary,Search1,P097-RT-10.16,Unidentified compounds,10.1451,16809
CVIT,CVIT4,Dietary,Search2,P097-RT-10.16,Unidentified compounds,10.1966,5634
GSEP,GSEP5,Non-dietary,Search1,P099-RT-10.34,Terpenoids,10.4165,32716694
SOBO,SOBO2,Non-dietary,Search1,P099-RT-10.34,Terpenoids,10.3525,32662189
CVIT,CVIT3,Dietary,Search1,P099-RT-10.34,Terpenoids,10.1773,32369296
SOBO,SOBO5,Non-dietary,Search1,P099-RT-10.34,Terpenoids,10.1946,20941465
SOBO,SOBO3,Non-dietary,Search1,P099-RT-10.34,Terpenoids,10.3777,8226012
TAME,TAME4,Dietary,Search1,P099-RT-10.34,Terpenoids,10.4825,7944702
TAME,TAME5,Dietary,Search1,P099-RT-10.34,Terpenoids,10.2208,6293010
CVIT,CVIT5,Dietary,Search1,P099-RT-10.34,Terpenoids,10.3543,5749206
TAME,TAME1,Dietary,Search1,P099-RT-10.34,Terpenoids,10.3131,4802672
AHER,AHER5,Non-dietary,Search1,P099-RT-10.34,Terpenoids,10.4028,1920440
CVIT,CVIT1,Dietary,Search1,P099-RT-10.34,Terpenoids,10.3797,1814880
BSIM,BSIM5,Dietary,Search1,P099-RT-10.34,Terpenoids,10.3172,1337417
CVIT,CVIT4,Dietary,Search1,P099-RT-10.34,Terpenoids,10.2578,1222360
BSIM,BSIM1,Dietary,Search1,P099-RT-10.34,Terpenoids,10.4235,1026938
AHER,AHER2,Non-dietary,Search1,P099-RT-10.34,Terpenoids,10.3025,696193
TAME,TAME3,Dietary,Search2,P099-RT-10.34,Terpenoids,10.3752,97336
SMOM,SMOM1,Dietary,Search1,P099-RT-10.34,Terpenoids,10.4033,59871
SMOM,SMOM3,Dietary,Search1,P099-RT-10.34,Terpenoids,10.4432,38517
BSIM,BSIM5,Dietary,Search1,P100-RT-10.25,Terpenoids,10.2503,9938027
SMOM,SMOM1,Dietary,Search1,P100-RT-10.25,Terpenoids,10.2367,782771
CVIT,CVIT4,Dietary,Search1,P100-RT-10.25,Terpenoids,10.2149,635696
GSEP,GSEP2,Non-dietary,Search1,P100-RT-10.25,Terpenoids,10.2634,586764
CVIT,CVIT1,Dietary,Search1,P100-RT-10.25,Terpenoids,10.2998,485960
BSIM,BSIM1,Dietary,Search1,P100-RT-10.25,Terpenoids,10.3243,425279
GSEP,GSEP3,Non-dietary,Search1,P100-RT-10.25,Terpenoids,10.2399,250883
SMOM,SMOM5,Dietary,Search1,P100-RT-10.25,Terpenoids,10.2615,235034
CVIT,CVIT5,Dietary,Search1,P100-RT-10.25,Terpenoids,10.2719,207506
TAME,TAME3,Dietary,Search1,P100-RT-10.25,Terpenoids,10.198,36639
CVIT,CVIT3,Dietary,Search1,P102-RT-10.41,Terpenoids,10.4108,88406766
CVIT,CVIT4,Dietary,Search1,P102-RT-10.41,Terpenoids,10.3984,8226650
SOBO,SOBO2,Non-dietary,Search1,P102-RT-10.41,Terpenoids,10.4604,7828036
CVIT,CVIT1,Dietary,Search1,P102-RT-10.41,Terpenoids,10.4043,989840
CVIT,CVIT5,Dietary,Search1,P102-RT-10.41,Terpenoids,10.3832,614071
SOBO,SOBO3,Non-dietary,Search1,P102-RT-10.41,Terpenoids,10.4008,501475
SOBO,SOBO5,Non-dietary,Search1,P103-RT-10.49,Terpenoids,10.4985,1112646
CVIT,CVIT4,Dietary,Search2,P103-RT-10.49,Terpenoids,10.4682,652833
TAME,TAME1,Dietary,Search1,P103-RT-10.49,Terpenoids,10.5447,362155
TAME,TAME3,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4768,318177
TAME,TAME2,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4798,246312
BSIM,BSIM5,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4746,212375
SMOM,SMOM1,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4852,204480
BSIM,BSIM3,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4668,193544
CVIT,CVIT1,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4914,187627
GSEP,GSEP5,Non-dietary,Search2,P103-RT-10.49,Terpenoids,10.4334,173603
AHER,AHER5,Non-dietary,Search1,P103-RT-10.49,Terpenoids,10.4471,147012
GSEP,GSEP2,Non-dietary,Search2,P103-RT-10.49,Terpenoids,10.4647,133306
BSIM,BSIM2,Dietary,Search2,P103-RT-10.49,Terpenoids,10.4716,110823
CVIT,CVIT3,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4816,92276
SMOM,SMOM5,Dietary,Search1,P103-RT-10.49,Terpenoids,10.4609,89350
SOBO,SOBO3,Non-dietary,Search1,P103-RT-10.49,Terpenoids,10.5014,79892
CVIT,CVIT5,Dietary,Search2,P103-RT-10.49,Terpenoids,10.4631,77481
SMOM,SMOM4,Dietary,Search2,P103-RT-10.49,Terpenoids,10.461,69274
GSEP,GSEP3,Non-dietary,Search2,P103-RT-10.49,Terpenoids,10.4619,64711
GSEP,GSEP1,Non-dietary,Search1,P103-RT-10.49,Terpenoids,10.489,59627
BSIM,BSIM1,Dietary,Search2,P103-RT-10.49,Terpenoids,10.4914,35610
SOBO,SOBO2,Non-dietary,Search1,P105-RT-10.62,Terpenoids,10.5976,373950827
CVIT,CVIT3,Dietary,Search1,P105-RT-10.62,Terpenoids,10.7171,76132854
SOBO,SOBO1,Non-dietary,Search1,P105-RT-10.62,Terpenoids,10.5838,42599935
CVIT,CVIT5,Dietary,Search1,P105-RT-10.62,Terpenoids,10.556,10543914
BSIM,BSIM3,Dietary,Search1,P105-RT-10.62,Terpenoids,10.526,10091019
BSIM,BSIM2,Dietary,Search1,P105-RT-10.62,Terpenoids,10.6232,4090079
GSEP,GSEP2,Non-dietary,Search1,P105-RT-10.62,Terpenoids,10.7049,3139254
BSIM,BSIM4,Dietary,Search1,P105-RT-10.62,Terpenoids,10.5783,1642743
AHER,AHER3,Non-dietary,Search1,P105-RT-10.62,Terpenoids,10.6299,418974
SMOM,SMOM3,Dietary,Search1,P105-RT-10.62,Terpenoids,10.5925,365175
GSEP,GSEP3,Non-dietary,Search1,P105-RT-10.62,Terpenoids,10.6675,190185
TAME,TAME3,Dietary,Search1,P105-RT-10.62,Terpenoids,10.5881,156498
SMOM,SMOM4,Dietary,Search1,P105-RT-10.62,Terpenoids,10.6402,32151
GSEP,GSEP4,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.7668,9766753
GSEP,GSEP3,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.7162,3157915
CVIT,CVIT4,Dietary,Search1,P107-RT-10.81,Aliphatics,10.8212,1759359
TAME,TAME3,Dietary,Search1,P107-RT-10.81,Aliphatics,10.7407,1620303
AHER,AHER2,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.8322,1073212
SMOM,SMOM1,Dietary,Search1,P107-RT-10.81,Aliphatics,10.802,1071957
SMOM,SMOM5,Dietary,Search1,P107-RT-10.81,Aliphatics,10.9053,1055023
BSIM,BSIM3,Dietary,Search1,P107-RT-10.81,Aliphatics,10.6984,1045638
GSEP,GSEP1,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.7625,1027675
TAME,TAME5,Dietary,Search1,P107-RT-10.81,Aliphatics,10.7832,833014
TAME,TAME1,Dietary,Search1,P107-RT-10.81,Aliphatics,10.8712,717342
CVIT,CVIT1,Dietary,Search1,P107-RT-10.81,Aliphatics,10.9166,621556
BSIM,BSIM5,Dietary,Search1,P107-RT-10.81,Aliphatics,10.8758,594606
GSEP,GSEP5,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.899,581537
AHER,AHER5,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.8988,520336
CVIT,CVIT2,Dietary,Search1,P107-RT-10.81,Aliphatics,10.9012,473504
GSEP,GSEP2,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.8966,425803
AHER,AHER3,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.783,401367
AHER,AHER4,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.7721,246911
SOBO,SOBO1,Non-dietary,Search1,P107-RT-10.81,Aliphatics,10.7933,135966
TAME,TAME2,Dietary,Search1,P107-RT-10.81,Aliphatics,10.7244,82116
SOBO,SOBO1,Non-dietary,Search1,P116-RT-11.41,Terpenoids,11.4024,7199389
TAME,TAME1,Dietary,Search1,P116-RT-11.41,Terpenoids,11.3662,671467
SOBO,SOBO3,Non-dietary,Search1,P116-RT-11.41,Terpenoids,11.5208,478048
CVIT,CVIT5,Dietary,Search1,P116-RT-11.41,Terpenoids,11.4839,416747
SOBO,SOBO5,Non-dietary,Search1,P116-RT-11.41,Terpenoids,11.3604,406168
CVIT,CVIT3,Dietary,Search1,P116-RT-11.41,Terpenoids,11.3383,182366
CVIT,CVIT2,Dietary,Search1,P116-RT-11.41,Terpenoids,11.3813,94418
TAME,TAME5,Dietary,Search2,P116-RT-11.41,Terpenoids,11.3716,73360
SMOM,SMOM1,Dietary,Search2,P116-RT-11.41,Terpenoids,11.3235,22806
CVIT,CVIT4,Dietary,Search2,P116-RT-11.41,Terpenoids,11.4024,22651
SMOM,SMOM5,Dietary,Search2,P116-RT-11.41,Terpenoids,11.4822,12251
TAME,TAME4,Dietary,Search1,P118-RT-11.52,Terpenoids,11.5168,3056039
SOBO,SOBO2,Non-dietary,Search1,P118-RT-11.52,Terpenoids,11.5496,903644
SMOM,SMOM5,Dietary,Search1,P118-RT-11.52,Terpenoids,11.499,357310
SMOM,SMOM4,Dietary,Search1,P118-RT-11.52,Terpenoids,11.491,345595
TAME,TAME3,Dietary,Search1,P118-RT-11.52,Terpenoids,11.5218,284775
AHER,AHER5,Non-dietary,Search1,P118-RT-11.52,Terpenoids,11.5104,223177
SMOM,SMOM1,Dietary,Search1,P118-RT-11.52,Terpenoids,11.5248,217135
AHER,AHER4,Non-dietary,Search1,P118-RT-11.52,Terpenoids,11.5233,187879
AHER,AHER1,Non-dietary,Search1,P118-RT-11.52,Terpenoids,11.5252,123346
BSIM,BSIM1,Dietary,Search1,P118-RT-11.52,Terpenoids,11.5253,117895
SMOM,SMOM1,Dietary,Search1,P119-RT-11.59,Aliphatics,11.5494,517736
TAME,TAME5,Dietary,Search1,P119-RT-11.59,Aliphatics,11.6115,211760
TAME,TAME2,Dietary,Search1,P119-RT-11.59,Aliphatics,11.6268,144870
GSEP,GSEP1,Non-dietary,Search1,P119-RT-11.59,Aliphatics,11.5695,47614
BSIM,BSIM4,Dietary,Search1,P119-RT-11.59,Aliphatics,11.5635,37137
SOBO,SOBO5,Non-dietary,Search1,P119-RT-11.59,Aliphatics,11.6441,8209
CVIT,CVIT1,Dietary,Search1,P121-RT-11.77,Aliphatics,11.7733,615178
AHER,AHER2,Non-dietary,Search1,P121-RT-11.77,Aliphatics,11.7313,374311
BSIM,BSIM1,Dietary,Search1,P121-RT-11.77,Aliphatics,11.7915,101970
TAME,TAME5,Dietary,Search1,P121-RT-11.77,Aliphatics,11.7655,101902
SMOM,SMOM5,Dietary,Search1,P121-RT-11.77,Aliphatics,11.7085,91229
BSIM,BSIM5,Dietary,Search1,P121-RT-11.77,Aliphatics,11.8388,74789
TAME,TAME3,Dietary,Search1,P121-RT-11.77,Aliphatics,11.7144,48985
CVIT,CVIT4,Dietary,Search1,P121-RT-11.77,Aliphatics,11.7949,15931
SMOM,SMOM3,Dietary,Search1,P121-RT-11.77,Aliphatics,11.8343,9944
SOBO,SOBO3,Non-dietary,Search1,P121-RT-11.77,Aliphatics,11.7992,4237
GSEP,GSEP3,Non-dietary,Search1,P122-RT-11.74,Aliphatics,11.7303,11268775
GSEP,GSEP2,Non-dietary,Search1,P122-RT-11.74,Aliphatics,11.7436,9687284
TAME,TAME2,Dietary,Search1,P122-RT-11.74,Aliphatics,11.7308,35829
AHER,AHER3,Non-dietary,Search1,P122-RT-11.74,Aliphatics,11.737,33093
BSIM,BSIM2,Dietary,Search2,P122-RT-11.74,Aliphatics,11.7712,1139
TAME,TAME5,Dietary,Search1,P124-RT-12.06,Aliphatics,12.223,1038485
CVIT,CVIT4,Dietary,Search1,P124-RT-12.06,Aliphatics,12.2663,920154
BSIM,BSIM4,Dietary,Search1,P124-RT-12.06,Aliphatics,12.0465,828353
TAME,TAME2,Dietary,Search1,P124-RT-12.06,Aliphatics,12.027,478661
CVIT,CVIT1,Dietary,Search1,P124-RT-12.06,Aliphatics,11.9254,388665
AHER,AHER4,Non-dietary,Search1,P124-RT-12.06,Aliphatics,12.1994,347568
TAME,TAME3,Dietary,Search1,P124-RT-12.06,Aliphatics,12.1824,288630
GSEP,GSEP1,Non-dietary,Search1,P124-RT-12.06,Aliphatics,12.1719,207291
GSEP,GSEP2,Non-dietary,Search1,P124-RT-12.06,Aliphatics,12.3027,185232
TAME,TAME4,Dietary,Search1,P124-RT-12.06,Aliphatics,12.0422,173095
SMOM,SMOM5,Dietary,Search1,P124-RT-12.06,Aliphatics,12.0543,171760
SMOM,SMOM3,Dietary,Search1,P124-RT-12.06,Aliphatics,11.9798,74040
SMOM,SMOM4,Dietary,Search1,P124-RT-12.06,Aliphatics,11.9918,66467
BSIM,BSIM5,Dietary,Search1,P124-RT-12.06,Aliphatics,11.9968,30433
SMOM,SMOM1,Dietary,Search1,P124-RT-12.06,Aliphatics,12.0401,22798
AHER,AHER1,Non-dietary,Search1,P124-RT-12.06,Aliphatics,12.0766,22419
AHER,AHER5,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.1253,1799723
BSIM,BSIM4,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0412,1478713
BSIM,BSIM3,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0867,1377509
CVIT,CVIT3,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0577,854851
SOBO,SOBO5,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.0731,827899
TAME,TAME4,Dietary,Search1,P125-RT-12.04,Aliphatics,11.9709,759084
GSEP,GSEP2,Non-dietary,Search1,P125-RT-12.04,Aliphatics,11.9849,741321
SOBO,SOBO2,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.1154,617521
GSEP,GSEP5,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.1207,532519
SMOM,SMOM5,Dietary,Search1,P125-RT-12.04,Aliphatics,11.9772,516351
SOBO,SOBO1,Non-dietary,Search1,P125-RT-12.04,Aliphatics,11.9884,471122
AHER,AHER2,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.1858,453112
BSIM,BSIM2,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0794,420641
CVIT,CVIT1,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0116,408536
AHER,AHER1,Non-dietary,Search1,P125-RT-12.04,Aliphatics,11.9509,403802
SOBO,SOBO3,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.0341,401886
SMOM,SMOM1,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0449,389797
TAME,TAME5,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0415,389136
BSIM,BSIM5,Dietary,Search1,P125-RT-12.04,Aliphatics,11.9872,374095
AHER,AHER4,Non-dietary,Search1,P125-RT-12.04,Aliphatics,11.9774,365134
GSEP,GSEP3,Non-dietary,Search1,P125-RT-12.04,Aliphatics,11.9976,333200
TAME,TAME1,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0302,300540
AHER,AHER3,Non-dietary,Search1,P125-RT-12.04,Aliphatics,12.0615,270535
BSIM,BSIM1,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0155,162333
CVIT,CVIT5,Dietary,Search1,P125-RT-12.04,Aliphatics,12.0122,99895
TAME,TAME1,Dietary,Search1,P130-RT-12.65,Terpenoids,12.6784,399722
SMOM,SMOM1,Dietary,Search1,P130-RT-12.65,Terpenoids,12.6526,359175
TAME,TAME5,Dietary,Search1,P130-RT-12.65,Terpenoids,12.6145,334957
CVIT,CVIT3,Dietary,Search2,P130-RT-12.65,Terpenoids,12.6244,7757
GSEP,GSEP4,Non-dietary,Search2,P130-RT-12.65,Terpenoids,12.692,3308
GSEP,GSEP1,Non-dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8591,1196414
SMOM,SMOM4,Dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8316,1062031
AHER,AHER1,Non-dietary,Search1,P132-RT-12.88,Unidentified compounds,12.861,993754
SOBO,SOBO3,Non-dietary,Search1,P132-RT-12.88,Unidentified compounds,12.9038,870757
TAME,TAME4,Dietary,Search1,P132-RT-12.88,Unidentified compounds,12.881,852168
AHER,AHER4,Non-dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8692,694795
GSEP,GSEP4,Non-dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8812,691013
BSIM,BSIM2,Dietary,Search1,P132-RT-12.88,Unidentified compounds,12.9024,541921
SMOM,SMOM5,Dietary,Search1,P132-RT-12.88,Unidentified compounds,12.9114,269477
SMOM,SMOM3,Dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8831,195119
GSEP,GSEP2,Non-dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8757,136503
SMOM,SMOM1,Dietary,Search1,P132-RT-12.88,Unidentified compounds,12.8688,7286
SOBO,SOBO2,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.1281,843758
BSIM,BSIM3,Dietary,Search1,P133-RT-13.10,Aliphatics,13.0989,396307
AHER,AHER5,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.1403,345299
GSEP,GSEP2,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.0414,316227
SOBO,SOBO5,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.1253,300993
AHER,AHER4,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.0667,280762
AHER,AHER1,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.0628,269599
SOBO,SOBO1,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.0786,241764
TAME,TAME4,Dietary,Search1,P133-RT-13.10,Aliphatics,13.0688,238895
SOBO,SOBO3,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.1012,225950
GSEP,GSEP5,Non-dietary,Search1,P133-RT-13.10,Aliphatics,13.1199,178733
CVIT,CVIT3,Dietary,Search2,P133-RT-13.10,Aliphatics,13.12,42375
CVIT,CVIT5,Dietary,Search2,P133-RT-13.10,Aliphatics,13.086,16843
TAME,TAME4,Dietary,Search1,P139-RT-13.56,Aliphatics,13.5359,1865341
TAME,TAME3,Dietary,Search1,P139-RT-13.56,Aliphatics,13.5606,425217
TAME,TAME2,Dietary,Search1,P139-RT-13.56,Aliphatics,13.5573,299727
GSEP,GSEP4,Non-dietary,Search1,P139-RT-13.56,Aliphatics,13.539,123917
GSEP,GSEP2,Non-dietary,Search1,P139-RT-13.56,Aliphatics,13.5397,116058
AHER,AHER5,Non-dietary,Search1,P139-RT-13.56,Aliphatics,13.6166,60552
TAME,TAME4,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0608,34666983
CVIT,CVIT4,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0075,3417577
TAME,TAME1,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0156,2879293
GSEP,GSEP4,Non-dietary,Search1,P143-RT-14.01,Unidentified compounds,13.9965,2831063
AHER,AHER1,Non-dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0104,815153
BSIM,BSIM5,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0009,703641
CVIT,CVIT1,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0245,643931
CVIT,CVIT5,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0082,259047
TAME,TAME5,Dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0158,233571
GSEP,GSEP3,Non-dietary,Search1,P143-RT-14.01,Unidentified compounds,14.0051,223688
AHER,AHER4,Non-dietary,Search2,P143-RT-14.01,Unidentified compounds,14.0336,4614
BSIM,BSIM3,Dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.4342,1321738
BSIM,BSIM2,Dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.4259,533904
AHER,AHER5,Non-dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.4424,386491
TAME,TAME3,Dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.423,294481
GSEP,GSEP5,Non-dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.4287,273200
TAME,TAME5,Dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.427,232135
TAME,TAME4,Dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.4181,192667
AHER,AHER3,Non-dietary,Search1,P146-RT-14.43,Nitrogen-containing compounds,14.4418,186126
GSEP,GSEP3,Non-dietary,Search2,P146-RT-14.43,Nitrogen-containing compounds,14.3975,44519
SOBO,SOBO2,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.578,7718763
SOBO,SOBO5,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5583,6704787
TAME,TAME4,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5216,4252986
SMOM,SMOM5,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.4952,2865671
AHER,AHER5,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5599,2772041
BSIM,BSIM3,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5507,2109300
TAME,TAME2,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5204,2065787
GSEP,GSEP3,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.4967,1701078
GSEP,GSEP5,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5327,1558675
SMOM,SMOM1,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5282,1515551
BSIM,BSIM4,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5105,1505472
TAME,TAME3,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5242,1502258
BSIM,BSIM2,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5304,1426626
CVIT,CVIT2,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.6514,1416412
CVIT,CVIT1,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5253,1388960
CVIT,CVIT4,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.504,1323788
AHER,AHER2,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5743,1220674
TAME,TAME1,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5193,1211177
TAME,TAME5,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5243,1207346
BSIM,BSIM5,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.4993,1104562
SMOM,SMOM3,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5069,931751
AHER,AHER1,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5238,914239
AHER,AHER4,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5267,888331
BSIM,BSIM1,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5233,627158
AHER,AHER3,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5318,544412
CVIT,CVIT3,Dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5357,371052
SOBO,SOBO3,Non-dietary,Search1,P147-RT-14.55,Miscellaneous cyclic compounds,14.5415,351899
SOBO,SOBO1,Non-dietary,Search1,P149-RT-14.66,Terpenoids,14.5791,36077082
SOBO,SOBO3,Non-dietary,Search1,P149-RT-14.66,Terpenoids,14.7182,10125388
TAME,TAME5,Dietary,Search1,P149-RT-14.66,Terpenoids,14.6138,4071196
SOBO,SOBO5,Non-dietary,Search1,P149-RT-14.66,Terpenoids,14.6363,3336829
CVIT,CVIT5,Dietary,Search1,P149-RT-14.66,Terpenoids,14.7175,2910862
CVIT,CVIT3,Dietary,Search1,P149-RT-14.66,Terpenoids,14.5877,2581608
CVIT,CVIT4,Dietary,Search1,P149-RT-14.66,Terpenoids,14.6167,2573108
SMOM,SMOM3,Dietary,Search1,P149-RT-14.66,Terpenoids,14.7033,2502194
CVIT,CVIT1,Dietary,Search1,P149-RT-14.66,Terpenoids,14.6957,1772696
BSIM,BSIM1,Dietary,Search1,P149-RT-14.66,Terpenoids,14.7015,31163
AHER,AHER5,Non-dietary,Search2,P149-RT-14.66,Terpenoids,14.6466,20621
TAME,TAME2,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6494,1663630
SOBO,SOBO2,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6834,1562315
SOBO,SOBO5,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6715,1317278
CVIT,CVIT2,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.7304,1224876
BSIM,BSIM5,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6361,1030697
TAME,TAME4,Dietary,Search2,P150-RT-14.66,Miscellaneous cyclic compounds,14.6458,982586
AHER,AHER2,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6802,819487
AHER,AHER5,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6707,732040
TAME,TAME3,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6508,721482
BSIM,BSIM2,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6547,577188
BSIM,BSIM4,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6449,494358
AHER,AHER3,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6647,291852
GSEP,GSEP5,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.656,275996
BSIM,BSIM3,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6624,238933
AHER,AHER4,Non-dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6596,232103
CVIT,CVIT1,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6596,196919
TAME,TAME5,Dietary,Search1,P150-RT-14.66,Miscellaneous cyclic compounds,14.6514,165081
