Species,Sample,Diet,Peak,Identity,Class,RT,Area
A.her,AHER2,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4416,232499
B.sim,BSIM3,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4204,7355217
B.sim,BSIM2,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4156,6558673
B.sim,BSIM1,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4181,2654282
B.sim,BSIM5,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.409,2017032
B.sim,BSIM4,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4058,1514194
C.vit,CVIT4,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4069,1577366
C.vit,CVIT3,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4275,1163615
C.vit,CVIT2,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.433,449784
C.vit,CVIT5,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4023,384433
C.vit,CVIT1,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4229,276096
G.sep,GSEP1,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4142,418491
G.sep,GSEP4,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.3872,319120
G.sep,GSEP5,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4174,87295
G.sep,GSEP2,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.399,67748
G.sep,GSEP3,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4079,28927
S.mom,SMOM1,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4181,3026994
S.mom,SMOM5,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.3938,2321657
S.mom,SMOM4,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.394,1998791
S.mom,SMOM3,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4031,1916173
S.obo,SOBO1,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4272,615418
S.obo,SOBO5,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4406,180089
S.obo,SOBO3,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4368,94776
S.obo,SOBO2,Non-dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4265,24553
T.ame,TAME3,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4194,5499640
T.ame,TAME1,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4165,3172210
T.ame,TAME4,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4135,2952540
T.ame,TAME2,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4176,2304029
T.ame,TAME5,Dietary,P034-RT-6.42,2-Carene,Terpenoids,6.4171,452283
A.her,AHER2,Non-dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.6043,84761
A.her,AHER4,Non-dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5866,43084
B.sim,BSIM3,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.6131,6921858
B.sim,BSIM4,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5719,932249
B.sim,BSIM5,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5737,829947
B.sim,BSIM2,Dietary,P038-RT-6.58,beta-Myrcene,Terpenoids,6.5774,225423
